CPY ID,Time,EUR,Chronology,Day,Start,End,Company,Stage,What,Follow Up_What,Follow up_days,Follow Up_Day,Follow Up_Company,Follow Up_OPID,Follow Up_What Copy,Sort by Date and Time,Column1,Column2,Column3,Column4
CPY82585,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Markforged Inc.,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251052,3:00, 329   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,3:00,Fokker / GKN Aerospace,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T03:00:00.000Z,.
CPY8251022,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,New Balance,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825797,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Sculpteo,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825782,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Fathom,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825793,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Protolabs,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825180,1:00, 110   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:00,Aceo 3D,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T01:00:00.000Z,.
CPY8251023,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Adidas,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251024,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Under Armour,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825776,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,3D Print-Au,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825839,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Reebok Future,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251025,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,ASICS,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251026,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Oakley,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251027,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Brooks Running,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825863,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Aether Bioprinter,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251030,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Nike,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825789,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,MakeXYZ,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825807,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Xometry,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825838,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,WiiVV,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825847,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,3F Studio,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251032,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Imperial College London,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251033,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Riddell,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251034,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Jabil,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251035,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Nunatak Group,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251036,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Luxottica,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825193,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,3D MicroPrint GmbH,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251037,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Maxon,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825156,1:00, 110   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:00,voxeljet AG,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T01:00:00.000Z,.
CPY825851,3:00, 329   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,3:00,SGL Carbon GmbH,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T03:00:00.000Z,.
CPY825580,2:00, 220   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,2:00,Pollen AM,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T02:00:00.000Z,.
CPY825505,3:00, 329   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,3:00,Linde AG,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T03:00:00.000Z,.
CPY825855,3:00, 329   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,3:00,Kathrein,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T03:00:00.000Z,.
CPY825118,1:00, 110   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:00,Renishaw,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T01:00:00.000Z,.
CPY825382,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,FADO Sp.z o.o.,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825800,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Star Rapid,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825802,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Treatstock,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825804,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Voodoo Manufacturing,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825798,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,SD3D,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825780,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Beta Layout,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825805,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,WhiteClouds,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825781,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,BuildParts,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825806,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,X3D Print,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825784,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,HK3DPrint,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251039,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Voest Alpine,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251040,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Hexor Helmets,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251041,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,BCG Digital Ventures,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825204,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,3DFortify Inc.,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251042,1:30, 165   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:30,Ford,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T01:30:00.000Z,.
CPY8251047,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,AQAL,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825856,3:00, 329   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,3:00,RLE Mobility & Co. KG,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T03:00:00.000Z,.
CPY8251051,3:00, 329   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,3:00,Print 2 Taste,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T03:00:00.000Z,.
CPY825748,1:00, 110   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:00,Xaar Plc,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T01:00:00.000Z,.
CPY825919,0:40, 73   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:40,CONCR3DE,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:40:00.000Z,.
CPY8251053,2:00, 220   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,2:00,chocolate3,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T02:00:00.000Z,.
CPY8251056,1:00, 110   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:00,Xaar 3D Limited,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T01:00:00.000Z,.
CPY825875,1:00, 110   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:00,Open bionics,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T01:00:00.000Z,.
