CPY ID,Time,EUR,Chronology,Day,Start,End,Company,Stage,What,Follow Up_What,Follow up_days,Follow Up_Day,Follow Up_Company,Follow Up_OPID,Follow Up_What Copy,Sort by Date and Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company ID,External Company ID,Company with Legal Structure,Chinese Legal Name,Updated Legal Name,Subsidary of (CPY),Mother Company,Dead?,Folder Name,USP,Company Bio,Competitive Situation?,Industry 1,Industry 2,Category,Company Size,Tags,Link,Domain,Source,-,Formnext2018,Formnext2019,Conferences,2019 Hitlist,Hyperganic Print 2020,New Outreach Tag,Hyperganic Solution, - ,Bill To_Country,Province/State,Bill To_City,Bill To_Postcode,Bill To_Street,Bill To_Name,Bill To_E-Mail,Bill To_Phone,Bill To_VAT ID,Bill to_Company ID,SupplierNumber,End-of-financial-year,Maps-HQ,  -,Ship To_Country,Ship To_Province,Ship To_City,Ship To_Postcode,Ship To_Address,Ship To_Name,Ship To_E-Mail,Ship To_Phone,Ship To_Company ID,Ship To_VAT ID,   -,Subsidiaries,Founding,Funding,#Employees,People,Notes,Printer Price min.,Printer Price max.,Range,Currency,    -,Axis,Multicolor?,Multimaterial?,Have Software?,Target Markets,     -,Material Extrusion (FDM/FFF),Vat Polymerization (SLA/DLP),Powder bed fusion - Polymers (SLS),Powder bed fusion - Metals (DMLS/SLM/EBM),Matrial Jetting (DOD),Directed energy deposition (DED),Bioprinting,Binder Jetting,Sheet Lamination,Other Printing Technology,Resin/Filament/Powder in use,       -,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total (1988 - 2017),# Contacts,Max OPID Stage,In Contact?,Time_Total,Touchpoints_Total,Time_Markus,Touchpoints_Markus,Time_Sherman,Touchpoints_Sherman,Time_Yiyi,Touchpoints_Yiyi,Time_Aaron,Touchpoints_Aaron,Time_Abhishek,Touchpoints_Abhishek,Time_Linhan,Touchpoints_Linhan,Time_Joris,Touchpoints_Joris,Time_Amelie,Touchpoints_Amelie,time,touchpoint
10,CPY82510,BeAM Machines Inc.,,,,,,BeAM Machines Inc._CPY82510,customised machines & machines from BEAM,,-,Manufacturer | 3D Printers (>5000$),,AM Hardware,,AM Hardware AM Hardware by Technology Metal 3D Printer Manufacturer Metal Powder Bed Fusion ,https://www.addupsolutions.com/en/,addupsolutions.com,Wohlers Report 2018,-, 3.0-C21,12.0-E31,,MobilityGoesAdditive,100% SLS | Outreach English,100% SLS | Outreach English; ORID8252,Print Solutions,-,France,,Cebazat,63118,"France, CŽbazat, 5, Rue Bleue,",,,,,,,,Maps,-,,,,,,,,,,,-,,,,,CEO | Vincent Ferreiro https://www.linkedin.com/in/vincent-ferreiro-86387a16/,joint venure between Michelin + Fives,,"730,000","730,000",EUR,-,,,,,,-,,,2,Metal,,Metal,,,,,,-,,,2,0,1,0,0,4,5,8,8,37 (Addup),41 (Addup),15,2,33%,In Contact,4:26,16,4:26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,CPY82511,Admatec Europe BV,,,,,,Admatec Europe BV_CPY82511,own production process (DLP with film),,-,Manufacturer | 3D Printers (>5000$),,AM Hardware,,3D Printing Service Providers AM Hardware AM Services Ceramics 3D Printer Manufacturer Tech - DLP Stereolithography ,https://admateceurope.com/ceramic-3d-printer/,admateceurope.com,Wohlers Report 2018,-, 3.1-C58,,,,100% SLA | Outreach English,100% SLA | Outreach English; ORID8252,Print Solutions,-,Netherlands,,GJ Moergestel,5066,"The Netherlands, Moergestel,  De Sonman 29,",,info@admatec.nl,,,,,,Maps,-,,,,,,,,,,,-,,,,,"MD | Michiel de Bruijcker https://www.linkedin.com/in/mdebruijcker/
General Manager | Bart Kooijmans https://www.linkedin.com/in/n-m-j-p-bart-kooijmans-6181448/",,,,0,,-,,,,,"Investment Casting, Industry, Manufacturing",-,,"Ceramics, Metal",,,,,,,,,,-,,,,,,,,,,,,,,,1,22%,Not in Contact,0:30,1,0:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12,CPY82512,Alkimat,,,,,,Alkimat_CPY82512,,,-,Manufacturer | 3D Printers (>5000$),,,,,,,Wohlers Report 2018,-,,,,,,,Print Solutions,-,Brazil,,,,,,,,,,,,Maps,-,,,,,,,,,,,-,,,,,,,,,0,,-,,,,,,-,,,,,,,,,,,,-,,,,,,,,,3,0,0,,4,3,0,0%,Not in Contact,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13,CPY82513,Allied Dimensions,,,,,,Allied Dimensions_CPY82513,,,-,Manufacturer | 3D Printers (>5000$),,,,,,,Wohlers Report 2018,-,,,,,,,Print Solutions,-,Spain,,,,,,,,,,,,Maps,-,,,,,,,,,,,-,,,,,,,,,0,,-,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,0,0%,Not in Contact,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,CPY82514,Apium Additive Technologies GmbH,,,,,,Apium Additive Technologies GmbH_CPY82514,,Germany;PEEK,-,Manufacturer | 3D Printers (>5000$),Manufacturer | Material | Filament,AM Hardware,,AM Hardware AM Hardware by Technology AM Materials Tech - Industrial FFF/FDM Thermoplastic Filaments ,https://apiumtec.com/,apiumtec.com,Wohlers Report 2018,-, 3.1-C70,11.1-B81,,MobilityGoesAdditive,100% FDM | Outreach German,100% FDM | Outreach German; ORID8252,Print Solutions,-,Germany,,Karlsruhe,76187,Siemensallee 84,,info@indmatec.com,,,,,,Maps,-,,,,,,,,,,,-,,,,,,,,,0,,-,,,,Yes - Apium Software,"Desktop, Industry, PEEK",-,2,,,,,,,,,,,-,,,,,,,,,9,9,8,12,29,26,3,0%,Not in Contact,0:06,1,0,0,0:06,1,0,0,0,0,0,0,0,0,0,0,0,0,,
15,CPY82515,ARBURG GmbH + Co. KG,,,,,,ARBURG GmbH + Co. KG_CPY82515,Acquired German Reprap,"Aurburg entered the additive manufacturing realm with its new freeformer machine, which produces fully functional plastic parts using its proprietary new additive manufacturing technique Ð ARBURG Plastic Freeforming (AKF) Ð from 3D CAD files, from standard granulates and without a mould. It therefore offers boundless freedom for the efficient production of individual parts and small-volume batches.<br>

In Italy Arburg is present through its italian branch, located at 31 B Via G.Vittorio in Peschiera Borromeo, near Milan, and can be reached via its italian website www.arburg.it.Ó",-,Manufacturer | 3D Printers (>5000$),,AM Hardware,,AM Hardware AM Hardware by Technology Tech - Industrial FFF/FDM ,https://www.arburg.com/de/leistungsspektrum/additive-fertigung/system-freeformer/,arburg.com,Wohlers Report 2018,-, 3.1-E70,12.1-D121,,Formnext 2019,100% FDM | Outreach German,100% FDM | Outreach German; ORID8252,Print Solutions,-,Germany,,Loßburg,72290,"Germany, Lossburg  , Arthur-Hehl-Stra§e",,contact@arburg.com,,,,,,Maps,-,,,,,,,,,,,-,,,,,,,,,0,,-,,,,,,-,Thermoplastic (droplets),,,,2,,,,,,,-,,,,,,,,2,3,5,5,10,15,15,2,22%,In Contact,3:24,14,3:04,13,0,0,0,0,0,0,0,0,0,0,0:20,1,0,0,,
16,CPY82516,Arcam AB (GE Additive),,,,,,Arcam AB (GE Additive)_CPY82516,,,-,Manufacturer | 3D Printers (>5000$),,,,,http://www.arcam.com/technology/products/arcam-q10/,arcam.com,Wohlers Report 2018,-, 3.0-D30*,,,,100% SLS | Outreach English,100% SLS | Outreach English; ORID8252,Print Solutions,-,Sweden,,Mšlndal,43137,,,,,,,,,Maps,-,,,,,,,,,,,-,,,,,"EX CEO | Magnus RenŽ, CEO and President, Arcam
Cell: +46 702 79 89 99 or +1 781 266 6957
E-mail: magnus.rene@arcam.com",part of GE Additive,"525,000","800,000","275,000",EUR,-,,,,,Orthopedic Implants,-,,,4,Metal,,,,,,,,-,15,10,11,14,14,24,27,42,60,50,65,,,365,0,0%,Not in Contact,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,CPY82517,Asiga,,,,,,Asiga_CPY82517,,SLA dental jewelry,-,Manufacturer | 3D Printers (>5000$),,AM Hardware,,AM Hardware AM Hardware by Technology Tech - DLP Stereolithography ,www.asiga.com,asiga.com,Wohlers Report 2018,-, 3.1-B76,,,,100% SLA | Outreach English,100% SLA | Outreach English; ORID8252,Print Solutions,-,Australia,New South Wales,Alexandria,,"2 / 19-21 Bourke Road, Alexandria, NSW 2015",,info@asiga,,,,,,Maps,-,,,,,,,,,,,-,,,,,Justin Elsey (info@asiga.com),,"6,990","20,000","13,010",USD,-,,,,,,-,,Photopolymer,,,,,,,,,,-,,,,,,5,9,15,20,20,20,48,70,89,0,33%,Not in Contact,1:00,1,1:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,CPY82518,ASPECT Inc.,,,,,,ASPECT Inc._CPY82518,,,-,Manufacturer | 3D Printers (>5000$),,,,,https://translate.google.com/translate?sl=auto&tl=de&u=http%3A%2F%2Faspect.jpn.com%2Findex.html,translate.google.com,Wohlers Report 2018,-,,,,,100% SLA + SLS | Outreach English,100% SLA + SLS | Outreach English; ORID8252,Print Solutions,-,Japan,,,,,,,,,,,,Maps,-,,,,,,,,,,,-,,,,,,strategic collaboration with Ricoh,"52,000","120,000","68,000",Japanese Yen,-,,,,,,-,,,1,"Metal, Thermoplastic",,,,,,,,-,6,3,5,1,5,3,11,7,16,20,20,15,10,103,0,0%,Not in Contact,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,CPY82519,Atum 3D,,ATUM 3D B.V,,,,Atum 3D_CPY82519,,"Atum3D is a leading company in industrial 3D Manufacturing, based on superior DLP technology. Our products are integral combinations of proprietary hardware, software, resins and services. Features include exceptional tolerance levels and speed, resin properties similar to ABS or PU and an integral batch manufacturing process resulting in ready-to-use components. Unprecedented cost efficiency, both in terms of investment and running costs, enable atum3D to rival traditional component manufacturing methods for the first time. Fixed costs become variable costs. Lead times and keeping stock turn into immediate manufacturing according to need.",-,Manufacturer | 3D Printers (>5000$),,AM Hardware,,AM Hardware AM Hardware by Technology Tech - DLP Stereolithography ,https://www.atum3d.com/products-dlp.php,atum3d.com,Wohlers Report 2018,-, 3.1-B19,11.1-B19,,,100% SLA | Outreach English,100% SLA | Outreach English; ORID8252,Print Solutions,-,Netherlands,,Gouda,,"Marconistraat 66a, 2809PE Gouda, The Netherlands",,,,,,,,Maps,-,,,,,,,,,,,-,,,,,,,,,0,,-,,,,Yes - Operator Station,"Dental, Jewelry, Prototypes, Footwear",-,,DLP,,,,,,,,,,-,,,,,,,,,,,,,,,4,44%,In Contact,7:08,20,3:43,13,0,0,0,0,0,0,3:25,7,0,0,0,0,0,0,,
20,CPY82520,Aurora Labs Ltd,,,,,,Aurora Labs Ltd_CPY82520,open source architecture metal printer,"Aurora Labs Ltd (ASX:A3D) is an Australian based company specialising in the development of 3D metal printers, printer software and the supply of associated consumable materials.
We are at the forefront of metal 3D printing technology, with several technologies under development including some of the most affordable metal printers available and revolutionary industrial grade, high speed, large format 3D metal printers that can be used for large-scale industrial manufacturing on a cost effective basis.

We are at the forefront of metal 3D printing technology. We produce the S-Titanium Pro, one of the most versatile and affordable, high quality metal printers available. We are also developing revolutionary industrial grade, high speed, large format 3D metal printers, powder manufacturing and control software that can be used for large-scale industrial manufacturing on a cost-effective basis.
A TEAM OF FREE THINKERS

Our outstanding team is built of inspired Materials Scientists and Surface Engineering specialists, Computer Scientists, Mathematicians and Physicists, we.re driven by the urge to create new things in new ways to meet extraordinary technical challenges.

Mission:

Aurora Labs was created to make 3D metal printing accessible for developers, researchers and creators as well as move 3D printing into high volume manufacturing.

Vision:

We believe weÕre on the cusp of another manufacturing revolution Ð one that takes 3D printing to new heights. We have developed the ability to print multiple metals at the same time, the most affordable metal printers available in their class and are developing what would be the fastest and largest print envelope 3D metal printers available.",-,Manufacturer | 3D Printers (>5000$),,AM Hardware,,AM Hardware Consumables Reseller Metal 3D Printer Manufacturer Metal Powder Bed Fusion ,https://auroralabs3d.com/#!products/printers,auroralabs3d.com,Wohlers Report 2018,-, 3.1-H81,11.1-D81,,,100% SLS | Outreach English,100% SLS | Outreach English; ORID8252,Print Solutions,-,Australia,,Bibra Lake 6163,,"Aurora Labs Ltd, Bushland Ridge Bibra Lake 2/79, 6163Bibra Lake, Australien",,,,,,,,Maps,-,,,,,,,,,,,-,,,,,"MD & Founder | David Budge
enquiries@auroralabs3d.com",,,,0,,-,,,,,,-,,,2,Metal,,Metal,,,,,,-,,,,,,,,,,,,,,,2,0%,Not in Contact,0:15,1,0:15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,CPY82521,Autostrade,,,,,,Autostrade_CPY82521,,,-,Manufacturer | 3D Printers (>5000$),,,,,,,Wohlers Report 2018,-,,,,,,,Print Solutions,-,Japan,,,,,,,,,,,,Maps,-,,,,,,,,,,,-,,,,,,,,,0,,-,,,,,,-,,,,,,,,,,,,-,18,12,,,,,,,,,,,,279,0,0%,Not in Contact,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,CPY82523,BigRep GmbH,,,,,,BigRep GmbH_CPY82523,large print volume (1000x1000x1000),"Founded in 2014, BigRep set sail to transform the 3D printing and manufacturing business. With its 1m_ volume, the BigRep ONE opens the gateway to a new dimension of 3D printing and 3D manufacturing, while the BigRep Studio allows fast and precise large-scale 3D printing.




Engineers, architects and designers now have access to large dimension 3D printing at a much lower price with the ONE and the Studio. 3DÊprinters are constructed to feel at  anywhere, in rugged work environments, such as workshops or construction zones, or in tidy offices or studios.

ÒWe believe it is time to change how we produce things. We want to make the world of manufacturing more individual, creative, and affordableÓ

With BigRep Everything is Possible
From furniture to vehicles to robotics, we think everything is possible. We want you to envision everything from human scale robot parts, sculptural artworks in all their full-dimensional glory, and dream the impossible world-changing designs of tomorrow while enabling you to print them today using one of our 3D printers.
Our growing interdisciplinary team consists of two-third engineers and technical staff. From mechanical engineers to software developers to industrial designers, electronics engineers to chemists and business experts, the whole team is involved in providing advanced large-scale 3D printing experiences.",-,Manufacturer | 3D Printers (>5000$),,AM Hardware,,AM Hardware AM Hardware by Technology Large Format 3D Printer Manufacturer Tech - Industrial FFF/FDM ,bigrep.com/,bigrep.com/,Wohlers Report 2018,-, 3.1-E20,12.1-C121,,,100% FDM | Outreach German,100% FDM | Outreach German; ORID8252,Print Solutions,-,Germany,,Berlin,10961,"Germany, Berlin, Gneisenaustr. 66",,office@bigrep.com,,,,,,Maps,-,,,,,,,,,,,-,,,,,"C Innovation O | Rene Gurka https://www.linkedin.com/in/rene-gurka-647b97/
CTO | Moshe Aknin https://www.linkedin.com/in/moshe-aknin-a334b82/",,,,0,,-,,,,,Industrial Prototypes & Casts,-,Thermoplastic,,,,,,,,,,,-,,,,,,,15,15,81,120,151,140,158,382,0,33%,In Contact,1:52,2,1:02,1,0,0,0,0,0,0,0,0,0,0,0:50,1,0,0,,
