Number,OPID,CPY ID,Company,Opportunity,Creation Date,Project,Owner,Lead,Active / Paused / Closed,Progress,Reason,Closing,Value,Revenue Type,TCV,Notes,Pain,Economic Buyer,Champion,Decision Criteria,Decision Process,Drive,Closing Probability,Average of Time invested,Last Task,Active Follow Up Task?,CF * Probability,Scenarios,Month,Data Origin,Data Cluster,Time Spend on OPID,Value / h,Earlist OPID Closing Date,Exclude before 2020,Exclude before 20202,Quarter,Cashflow Plan per Quarter,Cashflow Plan per Quarter by Owner,Number of Opportunities per Quarter per Owner,Cashflow Plan by Owner,OPID Stage,Reporting Cluster,Revenue Type Name,TCV (Actual),TCV (Forecast) Type,Data Origin2,Remove (-1),Creation Date_Year-Week,RevenueCurrency,RevenueCurrencySymbol,unknownProduct
20,OPID20,CPY825812,Aetrex,Workflow | Insole,,Footwear,Markus Finke,,Closed,4) Project Definition,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
21,OPID21,CPY825233,AIM3D GmbH,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Paused,1) Prospect,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
22,OPID22,CPY8251048,AKG,Workflow | Heat X,,Discovery,Markus Finke,,Closed,6) Negotiation,F) competition,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
23,OPID23,CPY8252261,Align Technology (Invisalign),Hyperganic Print | Dental Aligner,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,N) Deviation from HY business strategy,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
24,OPID24,CPY825846,Alstom,Workflow | Heat X,,Discovery,Markus Finke,,Paused,4) Project Definition,K) waiting for funding,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
27,OPID27,CPY825892,"ANTA (CHINA) CO., LTD.",Workflow | Emboss App,,Footwear,Markus Finke,,Active,9) Booked,,"Wednesday, 3 February 2021"," 7,489.40 € ", ARR ," 7,489.40 € ",,4,3,3,3,3,4,100%,#REF!,#REF!,," 7,489.40 € ",100%,44228,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,2021-Q1,"50,000 €","50,000 €",5,"10,000 €",9,1 - Revenue,ARR,22489.4,TCV,Forecast,Unhide,1900-52,Euros,€,Footwear
27,OPID27,CPY825892,"ANTA (CHINA) CO., LTD.",Workflow | Emboss App,,Footwear,Joris Debo,,Active,8) Forecast (Renewal),,"Thursday, 3 February 2022"," 15,000.00 € ",,,,2,3,3,3,3,4,90%,#REF!,#REF!,," 13,500.00 € ",75%-99%,44593,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,2022-Q1,"200,000 €",0 €,16,0 €,8,#N/A,#N/A,22489.4,,Forecast,Unhide,1900-52,Euros,€,Footwear
27,OPID27,CPY825892,"ANTA (CHINA) CO., LTD.",Workflow | Emboss App,,Footwear,Markus Finke,,Paused,5) Pilot,M) waiting for completion of other project,,,,,,2,3,3,3,3,4,90%,#REF!,#REF!,, -   € ,75%-99%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,5,#N/A,#N/A,22489.4,,Forecast,Unhide,1900-52,,,Footwear
28,OPID28,CPY825892,"ANTA (CHINA) CO., LTD.",Workflow | Kids Shoes,,Footwear,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
29,OPID29,CPY825186,AON3D,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
30,OPID30,CPY8251047,AQAL,Workflow | Cooling Channels,,Tool Making,Markus Finke,,Paused,4) Project Definition,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Tool Making
31,OPID31,CPY825857,AQUAL / NDC Datacenters,Workflow | Conformal Cooling,,Tool Making,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Tool Making
32,OPID32,CPY82515,ARBURG GmbH + Co. KG,Hyperganic Print | DOD,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
33,OPID33,CPY8251061,ArcelorMittal Group,Workflow | Dynamic Shock Absorption,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
34,OPID34,CPY825987,ARCTIC GmbH,Workflow | Heat Sink (Chip),,Discovery,Markus Finke,,Paused,4) Project Definition,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
36,OPID36,CPY82517,Asiga,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
37,OPID37,CPY825769,Aspect Biosystems Ltd,Hyperganic Print | Bioink,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
38,OPID38,CPY825922,Atlant 3D Nanosystems,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
39,OPID39,CPY82519,Atum 3D,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,4) Project Definition,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
40,OPID40,CPY8251057,AUDI AG,Workflow | Demonstrator,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
41,OPID41,CPY8254960,Awesome Industries,Workflow | Insole,,Footwear,Markus Finke,,Closed,5) Pilot,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,5,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
42,OPID42,CPY8251136,"Azul 3D, Inc.",Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,B) no budget / resources,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
43,OPID43,CPY8253583,B9 Creations,Hyperganic Print | Resin,,Hyperganic Print,Sherman Lim,,Closed,3) Project Evaluation,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,18,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
44,OPID44,CPY82510,BeAM Machines Inc.,Hyperganic Print | Multimaterial Printing,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,F) competition,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
45,OPID45,CPY8252330,BellaSeno,Workflow | Breast Implants,,Discovery,Markus Finke,,Paused,3) Project Evaluation,L) waiting for business case,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
46,OPID46,CPY8251109,Belle International Holdings Ltd,Workflow | Footwear,,Footwear,Markus Finke,,Paused,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
47,OPID47,CPY82523,BigRep GmbH,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
48,OPID48,CPY8251119,Biomimicry 3.8,Workflow | Heat X,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
49,OPID49,CPY82524,BLB Industries AB,Hyperganic Print | Extrusion,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
50,OPID50,CPY825299,BMF Material Technology Inc.,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,5) Pilot,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,5,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
51,OPID51,CPY825831,BMW Group,Workflow | Lattice App,,Discovery,Markus Finke,,Closed,6) Negotiation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
52,OPID52,CPY8251027,Brooks Running,Workflow | Footwear,,Footwear,Markus Finke,,Paused,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
53,OPID53,CPY825865,Brose Fahrzeugteile GmbH & Co. KG,Hyperganic Print | Industrial FDM,,Hyperganic Print,Markus Finke,,Paused,6) Negotiation,K) waiting for funding,," 30,000.00 € ",,,,2,1,3,,,2,40%,#REF!,#REF!,," 12,000.00 € ",25%-50%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,30000,,Forecast,Unhide,1900-52,Euros,€,Hyperganic Print
54,OPID54,CPY825865,Brose Fahrzeugteile GmbH & Co. KG,Workflow | Injection Mold,,Tool Making,Markus Finke,,Paused,4) Project Definition,K) waiting for funding,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Tool Making
55,OPID55,CPY825865,Brose Fahrzeugteile GmbH & Co. KG,Workflow | Multi Part Assembly J750,,Discovery,Markus Finke,,Paused,4) Project Definition,K) waiting for funding,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
56,OPID56,CPY825865,Brose Fahrzeugteile GmbH & Co. KG,Workflow | Heat X,,Discovery,Markus Finke,,Paused,3) Project Evaluation,K) waiting for funding,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
57,OPID57,CPY82527,Builder 3D Printers b.v.,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,1) Prospect,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
58,OPID58,CPY825781,BuildParts,Print Ready API,,,Markus Finke,,Closed,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Unknown
59,OPID59,CPY8251133,CADS GmbH,Hyperganic Print | FDM Plugin,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
60,OPID60,CPY82528,"Carbon, Inc.",Workflow | Footwear,,Footwear,Markus Finke,,Paused,2) First Contact,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
61,OPID61,CPY82529,"Carima Co., Ltd.",Hyperganic Print | Resin,,Hyperganic Print,Sherman Lim,,Closed,3) Project Evaluation,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,18,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
62,OPID62,CPY825810,Cellbricks GmbH,Workflow | Organs (Vascular Systems),,Bioprinting,Markus Finke,,Paused,4) Project Definition,B) no budget / resources,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Bioprinting
63,OPID63,CPY825833,Cellink,Hyperganic Print | Bioink,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
64,OPID64,CPY825869,Cerhum,Workflow | Osseointegrative Structures,,Orthotics,Markus Finke,,Paused,4) Project Definition,K) waiting for funding,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Orthotics
65,OPID65,CPY8251053,chocolate3,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,6) Negotiation,K) waiting for funding,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
66,OPID66,CPY825329,Clariant Produkte (Deutschland) GmbH,Workflow | Catalytic Converter,,Discovery,Markus Finke,,Paused,4) Project Definition,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
67,OPID67,CPY8254987,Centre National d’Etudes Spatiales (CNES),Workflow | Cooling Channel Texturing,,Tool Making,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Tool Making
68,OPID68,CPY825919,CONCR3DE,Hyperganic Print | Concrete,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
69,OPID69,CPY825830,Conflux,Workflow | Heat X,,Discovery,Markus Finke,,Paused,5) Pilot,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,5,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
